creator_id,username,password,date_made,phone_number,email_address,first_name,last_name,card_number,cvv,expiration_date,street,city,state,zip_code
1,ronowlan0,WQRCKrSQK,8/12/2022,215-458-7971,rpinckney0@naver.com,Lizette,Ruby,3575723003460298,971,9/5/2022,Straubel,Philadelphia,Pennsylvania,19136
2,bbedow1,wwBhYAfm,1/11/2023,509-190-5775,bcasine1@theatlantic.com,Abbie,Bonnibelle,3548009314243613,597,7/29/2022,Basil,Yakima,Washington,98907
3,mmyott2,o1Kef7SV82x,5/31/2022,843-865-3961,mwallage2@admin.ch,Calida,Marna,6304905551315591,34,9/11/2022,Lindbergh,Charleston,South Carolina,29403
4,rchallener3,LhIJ7NVP,6/10/2022,617-257-2093,rlook3@taobao.com,Kandace,Rita,4175008343478636,577,8/26/2022,Packers,Newton,Massachusetts,02458
5,nbuyers4,8bqRk3,6/12/2022,772-421-4686,ncoburn4@blogger.com,Martelle,Nani,3584555883989494,846,10/23/2022,Grover,Fort Pierce,Florida,34981
6,gmenzies5,weevjAJXLo4,4/2/2023,412-283-6872,gflemmich5@kickstarter.com,Nelie,Gare,3557873048972484,665,3/17/2023,Heffernan,Pittsburgh,Pennsylvania,15215
7,aklimushev6,fGJWXqA07,5/15/2022,734-365-8211,akornilov6@nbcnews.com,Bobina,Alphonso,3571965276929624,201,5/30/2022,Gulseth,Detroit,Michigan,48206
8,lhutson7,l6m0jd9CCk1,9/6/2022,775-207-3600,ltrobey7@php.net,Alexi,Lelia,5020031283729631315,220,1/5/2023,Vera,Reno,Nevada,89510
9,smacdonogh8,zPfr8fy,9/7/2022,937-959-0486,sfagge8@pbs.org,Ann,Susette,3566204835898790,327,12/14/2022,Vidon,Dayton,Ohio,45454
10,akeasey9,9jvS67nA,1/1/2023,414-781-5574,asilley9@smh.com.au,Darelle,Allys,374288758768047,755,5/14/2022,Arizona,Milwaukee,Wisconsin,53220
11,fkosiadaa,PbWDXuxqdAd,2/14/2023,719-607-5158,fvonhagta@walmart.com,Cedric,Faunie,372301465110288,799,3/10/2023,Hermina,Pueblo,Colorado,81015
12,hsebireb,Sg4XB7j5n8g,6/20/2022,614-410-5169,hgorringeb@weather.com,Urbain,Hartwell,4911115048142802,761,8/17/2022,Gale,Columbus,Ohio,43204
13,mgathc,Ku4COfsQOkRq,3/28/2023,610-192-3311,mparkinc@nationalgeographic.com,Tim,Manon,3550920156528439,346,3/30/2023,Arrowood,Reading,Pennsylvania,19610
14,jpleasaunced,9kUYryDtX,7/18/2022,386-313-8790,jdavinetd@tinypic.com,Sebastian,Justis,3531364956933057,819,4/2/2023,Basil,Daytona Beach,Florida,32123
15,amacronalde,3tt9pQVm,10/18/2022,510-619-2128,aaspinalle@disqus.com,Aldo,Alfie,3528968885663026,363,7/18/2022,Petterle,Richmond,California,94807
16,ccheleyf,er20nfh5XDQP,8/28/2022,215-547-7228,ccollocottf@vistaprint.com,Red,Casar,3584005372874765,463,3/2/2023,Red Cloud,Philadelphia,Pennsylvania,19093
17,nringsg,1QhEkRY,3/17/2023,313-378-8674,nboerderg@reverbnation.com,Richart,Nikolaus,3577557515451264,276,6/5/2022,Fordem,Detroit,Michigan,48224
18,msouzah,k2jTwM,3/14/2023,414-596-0181,mliveingh@chron.com,Marge,Marieann,3589981103612184,800,9/19/2022,Oriole,Milwaukee,Wisconsin,53263
19,jalderwicki,519ewm,10/2/2022,213-748-6251,jmcphillipsi@walmart.com,Merilee,Jasen,201531217801548,971,8/29/2022,Graedel,Los Angeles,California,90081
20,bclemontj,usJDO19WOB,10/5/2022,719-677-9752,bwaudbyj@angelfire.com,Allene,Beilul,3532145550623106,573,11/3/2022,Barby,Colorado Springs,Colorado,80935
21,lpoggk,NTlP3RfI5,7/24/2022,504-765-7916,lbielfeldtk@fotki.com,Levey,Lurlene,3576470252277846,867,2/4/2023,Arapahoe,New Orleans,Louisiana,70116
22,sbuyersl,VZyapfQD01I,7/27/2022,714-799-4053,sdudderidgel@cocolog-nifty.com,Anabelle,Starlin,4017954960282,237,4/3/2023,Stone Corner,San Jose,California,95128
23,jsapshedm,LqbpwmqZ8,7/5/2022,260-704-4273,jeasbiem@cnn.com,Val,Jeno,3557701623660416,765,5/18/2022,Esch,Fort Wayne,Indiana,46896
24,kgosnalln,zB39Bsxb,10/26/2022,714-577-4962,knawtonn@bloomberg.com,Nadia,Keven,5641829798273476,147,5/31/2022,Springs,Fullerton,California,92835
